,sasdate,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,AMDMNOx,ANDENOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,BOGMBASE,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,CONSPI,S&P 500,S&P: indust,S&P div yield,FEDFUNDS,CP3Mx,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,COMPAPFFx,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,WPSFD49207,WPSFD49502,WPSID61,WPSID62,OILPRICEx,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,MZMSL,DTCOLNVHFNM,DTCTHFNM,INVEST,VXOCLSx
134,1970-02-01,0.0010758419433800626,0.0007627922179604951,0.0019008399001079201,0.0003858359456536675,0.002021302249672452,-0.00028684870449691147,0.0011665147517117003,0.0022394825390794626,0.004266055468386432,0.006287212102507933,0.0034396410634935926,0.001838431959424014,-0.0024483556282106633,-0.0066833268145702895,0.0013931162232059258,0.0003387989637344546,-0.002564718107848085,-0.0006693691321608686,-0.19610000000000127,-36.0,-0.08896872200000006,0.0008996428280250157,-0.0004522809628602076,0.30000000000000027,0.09999999999999964,0.034762106259211834,0.05047963890120766,0.037620587774986,0.030565991665603587,0.05148983856678768,0.019763594170295384,0.0007864066573581852,0.0004011252729458903,-0.001001173298090574,0.010445410418892909,-0.0014875943515644252,-0.00186226255788835,-0.0009049690332334492,0.0009670093894111886,0.0006474415794599508,0.0004490423544942779,0.0009404046791567922,0.0014928498752162511,0.0007639306840525606,40.0,-0.09999999999999964,40.2,3.1156105116742996,2.3710678622717363,2.3636119798921444,2.725094521081469,2.4885507165004443,3.0484418035504044,2.2833012287035497,2.380211241711606,2.603144372620182,2.45484486000851,-0.00282272249874449,-0.027434234812423686,-0.003165120906876595,0.0024974169434131,0.0,6.425210491181959e-06,5.941799504221378e-06,-0.004743674076658433,4.4229406895511445e-05,0.00020869243350761155,-0.0381444038144404,6.096005455821401e-06,3.5510771990731372e-06,9.495904608783337e-07,-0.0006206850000000097,-0.015418620703447905,-0.016338325484140492,0.13042278800000018,0.0,-0.22999999999999865,-0.7400000000000002,-0.5600000000000005,-0.5099999999999998,-0.34999999999999964,-0.5499999999999998,0.019999999999999574,-0.08000000000000007,-0.43,-1.85,-1.76,-1.39,-1.16,-1.74,-1.05,-0.2,-0.0015124146941722927,-3.1073523025337835e-05,0.0007772852888316417,8.094203395030142e-05,1.236878444084547e-06,1.2432377127972577e-06,0.0,1.5265764196204606e-06,0.0,6.338592848381487e-06,5.2247248697979114e-06,4.985759490673629e-06,1.4041748931451435e-06,6.970107766828966e-06,4.466287587530571e-06,4.061398763180721e-06,6.56495474879957e-06,5.2247248697979114e-06,4.8110524144024185e-06,5.143195582803212e-06,2.9219322633496897e-06,4.03147110305754e-07,3.585188501701741e-06,3.710602573396504e-06,1.455577393514179e-05,3.6442420844941005e-06,1.8828768528657415e-06,3.340253281051719e-05,1.6303780374205302e-05,2.685826196505165e-06,4.31104776112203e-05,17.6779
135,1970-03-01,0.0016587025235246244,0.001636630912493775,-0.0022132482737589054,-0.005104756866676219,-0.004080726033643067,-0.0005642436363195724,-0.00023283577480714968,-0.0011579263167535991,-0.0005206984455414787,0.004106302285049601,-0.002388915021882987,0.0008746363586058514,-0.001020809688419222,-0.00018089864938697353,-0.005013293678080233,-0.0012423654297080144,0.0008895020693018285,0.006136720555809827,-0.4923000000000002,-184.0,-0.10004975400000005,0.0018305657287731592,0.0009095983867704049,0.20000000000000018,0.3000000000000007,0.006191675898642668,0.03386862721568962,0.055443399092838686,0.057816225962987744,0.05085269883733501,0.016079183208027814,0.0008883271661446202,-0.00017186546721514873,-0.0006448323113428245,-0.0007042614763359545,-2.3653739386730877e-05,0.0007381007328000067,-0.001209566251598737,0.0013840857330764678,0.0008310091484453608,0.00044857854297530864,0.0013806278732748645,0.0018588749248205083,0.002938989040377038,39.9,-0.10000000000000009,40.1,3.1202447955463652,2.3979400086720375,2.4471580313422194,2.716003343634799,2.4313637641589874,3.0538464268522527,2.247973266361807,2.41161970596323,2.6127838567197355,2.4578818967339924,-0.01056829348861843,-0.045502633565660755,-0.004304791247506046,0.001800423359274106,0.020662251000000076,2.1916748768003615e-06,5.477578654521718e-07,-0.0015267187145622252,5.065354246011451e-08,3.793023425666259e-05,-0.0078643309727916,1.3510027797036537e-06,1.2712482783649052e-06,3.404230177750275e-09,-0.0009442389999999856,0.0073615183627187,0.005499754501551379,-0.05730876100000026,-1.2200000000000006,-0.22000000000000064,-0.5,-0.6399999999999997,-0.6200000000000001,-0.6100000000000003,-0.16999999999999993,-0.08999999999999986,-0.14999999999999858,0.57,-1.13,-1.18,-0.79,-0.55,-0.69,0.08,0.87,0.001029014794265315,-0.0002020321105309364,0.0001986171659578151,-0.0001618991563588773,1.236878444084547e-06,1.2432377127972577e-06,1.5440979806536537e-06,2.4081931843305527e-05,0.0,8.392233771797936e-05,5.170158677264386e-06,0.0,1.4041748931451435e-06,6.886130820314487e-06,0.0,1.0083162955757358e-06,2.5801579602556894e-05,5.170158677264386e-06,1.1936989578667515e-06,5.0898983391083365e-06,1.196475811177019e-06,4.7569271269297924e-07,9.486656185756316e-09,4.115635523581521e-06,6.375498904666858e-06,1.4386765684137778e-05,7.4606598020707205e-06,5.986516794768793e-06,8.891881263555179e-06,7.948926011592909e-06,3.415738357110844e-05,17.4539
136,1970-04-01,0.004319140817456546,-0.002572972004623253,0.00032802289472688706,-0.002200576536574239,0.005116196261792716,-0.0011172930853469154,0.00014729667072743702,-0.00010984662452684368,0.001755884026418908,-0.00020030245451341244,0.002513321362385579,-0.0001989931531691802,-0.003014206451395607,-0.008156569800698232,0.0031817985535391724,-0.001549599444651717,0.004907835836686747,-0.0030536084949810416,-0.5455999999999932,-91.0,-0.061819238,0.0012038553492281778,0.000368808908332241,0.1999999999999993,-0.10000000000000142,0.033984497310367345,-0.010474782894717816,0.052055234229268166,0.05428528594014015,0.04767279457743934,0.08367757459563485,-0.0006265077401605978,-0.0035671992840109468,-0.002012289797949318,-0.0033017388171585615,-0.0036342846550940777,-0.0049183614569843215,-0.001638276621227508,0.000739346126075624,-0.0007077963007775523,8.966013549382978e-05,-0.0010540073318785481,0.0008647596011264191,0.0035007331287335575,39.7,-0.10000000000000009,39.8,3.1017470739463664,2.3242824552976926,2.423245873936808,2.7267272090265724,2.4082399653118496,3.087781417809542,2.2576785748691846,2.3710678622717363,2.66838591669,2.534026106056135,-0.009395831184604297,-0.025483521201524972,-0.005441696381574879,0.0034279951064917213,0.020662251999999937,4.436014970160946e-06,6.604214970083071e-07,-0.0014468458087129044,3.4033822501875484e-05,8.950225272720033e-05,0.024719185544160194,1.1782726517195202e-06,5.738596766868375e-07,1.1472525286855121e-08,-0.00222116,-0.013432858913865475,-0.013373760731752116,0.11620503000000015,0.33999999999999986,-0.2699999999999996,-0.1200000000000001,0.019999999999999574,0.08999999999999986,0.29000000000000004,0.3199999999999994,-0.009999999999999787,0.06999999999999851,-0.04,-1.59,-1.5,-1.04,-0.6,-0.71,-0.27,0.6,-0.0007866742261153359,0.0005750102921937561,5.415255709373401e-05,4.0480447613143455e-05,0.0,0.0,6.158782807387835e-06,1.4924163051403786e-06,0.0,0.00023660676977051213,5.116442864384584e-06,2.197021085649152e-06,3.472537729530349e-05,1.5262487199113854e-05,4.423135134783741e-06,4.005444256324203e-06,6.338592848381487e-06,1.1482140326070113e-05,4.738977439630759e-06,5.037425277141909e-06,4.749960048534446e-06,1.3600329255648797e-07,8.595891478000308e-06,4.653656809911194e-06,6.302006326535437e-06,3.1675340862069965e-05,0.0,3.9454772986238755e-06,4.151402126209094e-06,2.4239316306716916e-07,5.7207341126167844e-05,18.3914
137,1970-05-01,-0.0024991219380110508,0.0009247936245504462,0.0029721266876083785,0.004691643965567316,0.006161506026855612,-0.0005071863738148608,0.00013100873117299905,0.0002332493792922552,0.002350812902023769,0.0004284915784209531,0.0030920940869501035,-0.0004413370749183354,-0.0014408010562809714,-0.002466610027434868,-0.002333726701165606,-0.001015367426164815,0.0074932523082555935,-0.005698004165848092,-0.44240000000000634,-194.0,-0.07519708999999997,-0.0012828270762330618,-0.0020185158357444166,0.20000000000000018,0.40000000000000036,-0.006134204832041412,0.05001665453005044,-0.00800901037656887,-0.04575749056067524,0.058260610445520555,-0.02029559264747327,-0.0013656303569078432,-0.0041796619204790275,-0.0007931004612906634,-0.004162788783932392,-0.004266753481405594,-0.004696828015384291,-0.0036015912970110975,-7.120749022426764e-05,0.00021553840517007927,0.0002944673279912102,0.0003496782071943372,0.000739854492226133,-0.0012666146865134564,39.6,0.0,39.8,3.110589710299249,2.271841606536499,2.41161970596323,2.75815462196739,2.4345689040341987,3.1231980750319988,2.3010299956639813,2.413299764081252,2.722633922533812,2.5327543789924976,0.013568796788983484,0.020799477334870975,-0.004551628367290839,-0.00012555124095481318,-0.020662251999999937,1.1009768628333725e-06,5.207911529406406e-06,0.0011635301995371883,4.064692260320381e-06,1.4678024557258451e-05,-0.013491219708912316,1.8916606898927728e-06,8.8671082150132e-08,3.681985595679338e-08,0.00043496500000000937,-0.053089559947507414,-0.0532595720235407,0.4844665320000008,-0.15999999999999925,0.16999999999999993,0.33000000000000007,0.41999999999999993,0.6900000000000004,0.46999999999999975,0.5200000000000005,0.27999999999999936,0.28000000000000114,0.29,-1.1,-0.92,-0.19,0.03,-0.03,0.17,1.04,0.0008370534944166508,0.0009965140845191733,-0.00043340963993221404,4.047667479543243e-05,0.0,1.2432377127972577e-06,1.5265764196204606e-06,3.794940333866034e-05,0.0,1.5963042151941222e-05,1.269171598461492e-06,5.46453347106434e-07,1.3666317648152802e-06,6.682710133136659e-06,1.097791778877985e-06,8.909350711736476e-06,6.26573566101361e-06,1.2626125757718583e-06,1.175882786916944e-06,1.2496461510776923e-06,1.8973821101432235e-06,5.32448647669369e-07,8.609169474275843e-07,3.607836642183788e-06,1.5619229425570402e-06,3.4891854048842918e-06,1.652575866780739e-05,5.762182283912378e-07,2.232280044574089e-07,4.259884084710622e-08,7.039096958425753e-07,37.6526
138,1970-06-01,0.0013564753990493728,0.001406529681550861,0.0014707429003202321,0.0017359383286192909,0.0027569040216830487,-0.0014062350207784124,-0.001018794328514483,-0.0009258092930486406,0.0010862103617095276,0.008343967811733632,-0.0018353948889315852,-0.002643937846164235,-0.001959132639957506,-0.000472226543423826,-0.0031654940361840467,-0.001311031559825926,-0.006167979742761398,0.0028488948358047494,-0.4936000000000007,-57.0,-0.04201156699999997,5.2652285837950785e-06,-0.0008355171393761296,0.10000000000000053,0.0,-0.0018572850055673662,0.0168179288005188,0.04597788867852515,0.08018539558607829,-0.013363961557981696,-0.019897014885868813,-0.0005804728978349161,-0.0018510908424724803,0.002231401103288899,0.00023895157791420374,-0.002391349166541268,-0.0040266266025774655,0.0001225781780376245,0.0,0.0003384872315708165,-0.0005250593712320395,2.9127145802831933e-05,0.0003694551323643047,-3.428415094752779e-05,39.6,-0.10000000000000009,39.8,3.1414497734004674,2.2764618041732443,2.484299839346786,2.7693773260761385,2.481442628502305,3.1212314551496214,2.3364597338485296,2.4742162640762553,2.693726948923647,2.4955443375464483,0.008181048914159383,-0.023509712954901563,-0.0027341045204023473,0.0027288227967465772,0.0,7.015705825259897e-07,7.334204106225179e-06,0.00045321630192196594,2.015964340148995e-06,2.404892911152254e-05,-0.008435839310267923,1.1307064287371794e-05,5.636468471615441e-07,3.147435930183687e-06,-0.000233561000000021,-0.0026919757340948536,-0.0010457372784469232,0.030373988999999213,-0.34000000000000075,-0.019999999999999574,-0.16000000000000014,-0.15999999999999925,-0.20000000000000018,-0.1200000000000001,-0.07000000000000028,0.370000000000001,0.2699999999999996,0.61,-0.92,-0.74,-0.05,0.25,0.24,0.88,1.65,0.0005235982424346419,-3.1219927500103495e-05,-0.00108542018902813,-0.014109590345122922,1.2305678432094705e-06,1.2432377127972577e-06,1.5179272672365662e-06,0.0,0.0,4.186162567830988e-05,5.037425277141909e-06,2.1746975185856045e-06,5.422668193986167e-06,6.603858326235189e-06,1.0925139363346818e-06,3.914723345475451e-06,6.1941274494309116e-06,5.011492514106697e-06,1.1700326268216393e-06,4.96022416084607e-06,1.2628545949362673e-06,2.781437332268763e-07,1.4901329973603906e-07,3.2728649279811013e-06,1.3897033519728001e-05,3.1135031585172485e-05,7.2314659301666935e-06,4.412634321133417e-07,6.2277511067973945e-06,9.521364800991097e-06,1.049309962406312e-06,23.776
139,1970-07-01,0.002413411103484364,0.0022845270664197947,-0.00010820071500172723,0.00046322503278339866,0.0036213301798442288,0.0010640524784288896,0.0003785334894557124,-0.0004630779986531941,0.0010405687025416555,0.0007751767095871553,0.0011512139557845469,-0.0011310782745967973,0.0021762695032054857,0.0005270053091877003,0.00777005223872429,0.0013469931122025436,0.007035303495241729,-0.007420718001926563,-0.002300000000005298,-99.0,-0.041353461000000036,0.0021900557212823912,0.0017301160451657083,0.09999999999999964,0.3000000000000007,0.006567905620615377,0.012935270643483321,0.0032926198799194673,-0.005044127340193327,0.01896783907598021,-0.014900071396873216,0.00014671904484497844,-0.0008991607392090373,-0.00014361590140898883,0.0010736581040635684,-0.0012856494177331257,-0.0027321789406942187,0.0009182352040801867,0.0006226700313574085,0.0011366157384546938,0.0022621885229177074,0.000535591117949874,0.0007379687109634325,0.001027349040587211,39.7,0.10000000000000009,40.0,3.1809855807867304,2.3820170425748683,2.5010592622177517,2.803457115648414,2.510545010206612,3.121887985103681,2.3541084391474008,2.4899584794248346,2.681241237375587,2.4899584794248346,-0.005034315692887148,0.035198075990134026,-0.0037688577495442743,0.0031827518811491373,0.0,6.988722349647894e-07,8.045148239672819e-06,0.001723561248308858,3.534885899970499e-05,8.235141239925247e-05,0.0038602803388052553,1.1601794560888238e-05,1.624746190914463e-06,3.3646585479015567e-06,-0.00072333799999999,0.0007462599502903178,0.00020934899508939786,-0.0028248509999997395,-0.3899999999999997,0.0799999999999983,-0.22999999999999954,-0.35000000000000053,-0.4500000000000002,-0.2599999999999998,-0.3799999999999999,-0.040000000000000924,0.15000000000000036,1.08,-0.76,-0.7,-0.11,0.38,0.25,1.23,2.19,-0.0011890756155330529,0.0005926743416200253,-0.0012879281086581873,-0.002684204280235594,0.0,0.0,6.020386875106422e-06,1.535299707529617e-06,2.7215140601464688e-05,4.313738424131107e-05,1.2496461510776923e-06,5.409150016785911e-07,5.364980371218904e-06,6.526393935809498e-06,1.0872740638574423e-06,9.720244073883249e-07,6.123739827947292e-06,4.96022416084607e-06,4.645369930001456e-06,1.2305678432094705e-06,2.551677986097817e-06,1.6590225704547263e-06,2.086683765406432e-06,3.052417805950887e-06,6.08899508796971e-06,3.0350125347641384e-05,1.7911827896147918e-06,2.016507121283725e-06,0.00015571717981043397,2.3541625432502162e-05,2.5893151009293355e-05,21.3723
140,1970-08-01,0.0011061636191462831,0.0008464667167462636,0.0018203617467329458,-0.00020088811244178828,-0.00013766582096952362,-0.0007748202664081827,-0.0046706106683154225,-0.0052312949810302545,-0.007453894024218144,-0.013432985801814734,-0.005037529222565729,-0.0011939430795799844,0.005222347849287878,0.007810665305756581,-0.006745988992169272,-0.002962401823484173,0.003446595884711412,0.007144943947434035,-0.7906999999999869,-29.0,-0.019504917999999982,-0.00011002689293349022,-0.0005630510754235374,0.09999999999999964,-0.09999999999999964,0.010067545897788577,0.006164911256568928,0.027331127551698753,0.025612083843931543,0.030457864070895013,-0.001670657524780239,-0.0007096016777046188,-0.0017646301194931269,0.003718664751759526,0.00047633071065478205,-0.0023873102085314457,-0.0022630079106669143,-0.0025759669137932484,-0.00023117323771337794,-0.00030690021904877796,-0.0016475482761060256,-0.00013965575549335085,0.0004912834029591195,0.0004785991311377913,39.6,-0.10000000000000009,39.8,3.1458177144918276,2.2648178230095364,2.444044795918076,2.7937903846908188,2.496929648073215,3.144262773761991,2.3443922736851106,2.4927603890268375,2.7101173651118162,2.5428254269591797,-0.002767919275090236,-0.0043915771381959345,-0.00428842693742304,0.0026181740967707867,0.01033112600000008,1.5595419398646416e-05,1.7508072895516906e-05,0.0030628769523342037,2.204764545352309e-06,1.2171014993034548e-05,0.027963412357662865,1.2038616685971361e-05,1.7277176815458758e-06,5.187750728777535e-07,-0.0005029699999999915,0.012438338578799835,0.012379778312931133,-0.11441193299999952,-0.5999999999999996,-0.3899999999999988,-0.040000000000000036,0.040000000000000036,-0.11999999999999922,-0.019999999999999574,0.07000000000000028,-0.3099999999999987,0.03999999999999915,1.29,-0.2,-0.06,0.37,0.96,0.92,1.52,2.83,-0.00023214858687170548,-0.0013868745882010813,-0.0005271557466694499,-0.004525043085233651,0.0,0.0,0.0,2.4776916644201977e-05,0.0,5.639411887533742e-05,1.2432377127972577e-06,2.152712470292436e-06,1.3376708194261891e-06,6.450284602440634e-06,1.0820717980964112e-06,3.861762466759477e-06,6.054545212731247e-06,1.2305678432094705e-06,0.0,1.2243054148239236e-06,1.2937049151397388e-06,1.3942795288662701e-06,1.3336195819348668e-07,2.751299928267516e-06,1.3507775585742727e-05,4.01978574650166e-05,1.780193946787944e-06,1.0250659160782503e-05,6.092569917535198e-05,1.1660308585069127e-05,0.00011568577644184619,21.3772
141,1970-09-01,-0.00029888581153159066,-0.001201558559946747,0.0021499010512877614,-0.0007548109261232838,0.0013472473161293408,-0.0030037046004702805,-0.002974499562187649,-0.004188872557427059,-0.001654636458114922,-0.011720538054684093,0.002305353185725334,-0.009370932363356843,-0.0030061775659271373,-0.009518373260968493,0.004665199470028636,-0.003671090772501495,0.004428855723794589,0.009068003560859017,-0.9100000000000108,-27.0,-0.03511317000000003,0.00038758992479159815,-0.0006965430232543923,0.3000000000000007,0.09999999999999964,0.010422781215632337,0.031078669661827263,0.04833710049815654,0.04795210647623227,0.04903259842404184,0.04765546789274122,4.2853678445808896e-05,-0.0023047909481999085,0.0007114917743082927,-0.0037053008408531873,-0.002130399238351899,-0.002519305144558004,-0.0015405992810388902,0.0011014141739291716,0.00021485292309453285,0.00034535325163220776,0.0010869646928703958,0.0012257825859842697,0.0010237969896893517,39.3,-0.19999999999999973,39.6,3.185825359612962,2.359835482339888,2.437750562820388,2.824125833916549,2.561101383649056,3.154119525515847,2.3180633349627615,2.4578818967339924,2.739572344450092,2.582063362911709,0.0017634431548021468,-0.011511475558289685,-0.003101479326015344,0.001524100509469939,0.010331125999999857,1.5315616789112146e-05,2.0247849599637615e-05,0.002290028295960145,6.399656878500535e-06,4.034426694694979e-05,0.023825088980896414,1.549294591287402e-05,2.8125911869021494e-06,3.241685240723134e-06,5.483100000000518e-05,0.025225934668124284,0.025957844033663857,-0.2267480870000007,-0.3200000000000003,-0.5800000000000001,-0.29000000000000004,-0.08999999999999986,-0.25,-0.28000000000000025,-0.14000000000000057,-0.040000000000000924,-0.049999999999998934,1.03,-0.17,0.17,0.44,1.0,1.1,1.8,3.1,0.0005246809118019113,-0.00031095352391696807,-0.0004367512442540189,-0.002387176307458443,1.9440329518913583e-05,1.9639209727381054e-05,1.4924163051403786e-06,9.798779088985114e-05,0.0,1.7882762062957462e-05,4.934884504757147e-06,4.802963180299603e-06,5.336481055504329e-06,6.375498904666858e-06,4.297364750473896e-06,3.827050053843285e-06,5.986516794768793e-06,4.884784262580751e-06,4.599602831581714e-06,4.8600197638544875e-06,3.7522399510213914e-06,2.335363095051703e-06,4.0506507340152934e-06,4.014939709603158e-06,5.9196285139038846e-06,8.101665313511693e-07,1.582685403820742e-05,1.3962875682272504e-05,1.0037164523399242e-05,1.3301872162629063e-06,7.812631392445275e-05,17.5699
142,1970-10-01,-0.0015073729319423634,-0.002470755737496333,-0.0026428049318585334,-0.004542096663323392,0.0035678222676160942,-0.008776089113119445,-0.006875382993096313,-0.008057373189954475,-0.0053762952648890305,-0.02680729613854549,0.0026193753935848108,-0.014446788814684641,-0.01161734396654679,-0.025035139549828278,0.001656875982687378,-0.009815385681468891,0.007156526598266266,-0.004444824210000364,-1.9853999999999985,-190.0,-0.05938752299999994,0.0016825241903637433,0.0010333573787448813,0.09999999999999964,-0.20000000000000107,0.0283929118663675,0.0065487728870476936,-0.00947183943859864,0.004262001642494795,-0.0354065558238279,0.02011660529433179,-0.0025972093924373496,-0.010212111156196357,0.0003553092580603767,0.0009592372356945766,-0.012930760776201922,-0.020271311465266173,-0.0020419953417509795,0.0007799576465217228,0.0002147466842270518,0.0,0.0009742099202143528,0.0009781411384874872,0.0017688841763323637,39.2,0.0,39.5,3.1986570869544226,2.383815365980431,2.506505032404872,2.8068580295188172,2.576341350205793,3.1942367487238292,2.3961993470957363,2.507855871695831,2.7551122663950713,2.6273658565927325,-0.03559570032741277,-0.01828638890111911,-0.0060323523940502,0.0006375507208637998,0.01033112600000008,5.061175587486023e-06,1.353713427555669e-05,0.0014737413726471082,1.4926335817905506e-09,4.676478987068556e-06,-0.00017736786094357804,9.423817101258225e-07,4.0362217246594245e-06,1.5111616649777477e-07,-8.382300000001064e-05,0.009313170568522766,0.01036619335313027,-0.1017142139999998,-0.08999999999999986,-0.47000000000000064,-0.20999999999999996,-0.25,-0.3000000000000007,-0.16999999999999993,-0.05999999999999961,-0.0600000000000005,-0.0600000000000005,0.65,-0.29,0.01,0.23,0.92,1.13,1.83,3.13,0.0024234516533930828,-0.00020204504515852761,0.0003821813526318496,0.002387176307458443,0.0,1.218090669870815e-06,5.919628513904425e-06,0.0,0.0,3.5884457128737205e-05,4.884784262580751e-06,2.1168045679255024e-06,2.100962244764314e-05,1.580058350843239e-06,4.256631511909419e-06,8.514741608460997e-06,5.919628513904425e-06,1.0852313249709678e-05,4.554508776917338e-06,4.8110524144024185e-06,4.6379138001112436e-06,8.07928554109138e-06,3.150103286444469e-06,4.764299157573267e-06,1.4757646278834484e-06,1.2882579339651233e-05,1.582685403820742e-05,7.737137740663194e-06,8.876893048102438e-09,5.598347679976059e-08,0.0001058477921874589,17.557000000000002
143,1970-11-01,-0.000425991149246574,-0.00017290399359293218,-0.0028761329084616705,-0.007351245523604888,-0.009719307092444396,-0.0026380108414605363,-0.0026322491556309835,-0.002832388562210575,-0.0029084645064461068,0.0014133705714871603,-0.004443559014252196,-0.0024176097282913034,-0.002606769275023346,-0.006869797472309314,-0.002085644038691603,-0.0026636064129033077,-0.017450233192566333,0.005949714470704359,-0.6998999999999995,-6.0,-0.03587504399999997,0.0014162015507981351,-0.00019322219617201597,0.40000000000000036,0.6000000000000014,-0.008825932508501388,0.0664400282173343,0.05296377695670662,0.022318804210907928,0.10783831962278434,-0.011008736732077473,-0.0006902858470647644,-0.00267745799753083,0.00042598775549151924,0.0020313714824262696,-0.0037845593064096406,-0.005456950271392813,-0.0013666838058528086,0.00017706792021865425,-0.0008288943958536521,-0.0004221357279328153,-0.001683044117173349,0.0014630934059094436,0.0012542564882549456,39.3,-0.10000000000000009,39.5,3.2166935991697545,2.392696953259666,2.5390760987927767,2.8603380065709936,2.5171958979499744,3.17666993266815,2.423245873936808,2.5185139398778875,2.751279103983342,2.5352941200427703,0.007004082991193705,0.0278397829994268,-0.0020020395622344367,0.001931450250047817,0.04132450300000001,2.6531872638805915e-06,1.0882735926280307e-05,0.0010812661459569384,1.8209156091346884e-05,9.186862192901475e-08,0.0023771509668262247,2.50020774903746e-06,2.812492131526097e-06,1.7557617688136605e-06,-0.0008590139999999913,-0.0004635221711435378,-0.0012647316290073096,-0.015750966000000144,-0.6000000000000005,-0.5499999999999998,-0.6299999999999999,-0.79,-0.9199999999999999,-0.6500000000000004,-0.4900000000000002,0.02000000000000135,0.05000000000000071,0.7,-0.32,-0.18,-0.09,0.87,1.24,2.45,3.78,-0.001225119356457971,-0.00012430743408664569,0.0005272219487176821,-0.0005529976029743366,4.786845797377981e-06,4.8600197638544875e-06,1.4675431032539563e-06,2.4218569567568898e-05,0.0,0.00022205694436190336,4.835443112817237e-06,4.723180793225268e-06,2.0573062832496355e-05,6.26573566101361e-06,1.0566121528721814e-06,8.401463870074071e-06,5.853855033864735e-06,4.76282141399593e-06,4.510074633488522e-06,4.76282141399593e-06,2.8724480738988887e-06,1.0004075715066789e-05,1.308368594953689e-07,5.071690352543719e-06,1.4757646278834484e-06,1.2672252691298397e-05,0.0,5.310461773629522e-06,4.316073396797314e-06,1.440349228877885e-06,0.00011446466545261579,16.5581
